Account,Phone,Date,City,Province,Amount
22296,450-577-5539,17-Jan,GRANBY,PQ,0.01
22296,905-809-0168,19-Jan,OSHAWA,ON,0.12
22296,905-730-6162,19-Jan,HAMILTON,ON,0.01
22296,519-401-8113,20-Jan,CHATHAM,ON,0.02
22296,519-626-9357,20-Jan,WALLACEBG,ON,0.01
22296,519-626-9357,20-Jan,WALLACEBG,ON,0.01
22296,905-813-7700,30-Jan,STREETSVL,ON,0.01
25834,226-220-8039,11-Jan,KITCHEWTR,ON,0.5
10739,613-290-2568,16-Jan,OTTAWAHUL,ON,0.05
11321,226-627-4749,17-Jan,CHATHAM,ON,0.1
22296,613-608-8249,2-Jan,OTTAWAHUL,ON,0.01
22296,289-527-6544,3-Jan,HAMILTON,ON,0.08
22296,313-919-8439,3-Jan,DETROIT,MI,0.01
22296,519-350-4186,9-Jan,CHATHAM,ON,0.1
22296,519-355-5124,9-Jan,CHATHAM,ON,0.08
22296,519-355-5124,10-Jan,CHATHAM,ON,0.02
22296,905-531-9347,10-Jan,HAMILTON,ON,0.01
22296,519-626-9357,20-Jan,WALLACEBG,ON,0.01
22296,519-354-4497,27-Jan,CHATHAM,ON,0.08
22296,519-351-3452,2-Jan,CHATHAM,ON,0.01
22296,519-289-2999,2-Jan,MELBOURNE    ON,,0.02
22296,519-351-3452,6-Jan,CHATHAM,ON,0.01
22296,519-351-3452,17-Jan,CHATHAM,ON,0.01
22296,519-351-3452,18-Jan,CHATHAM,ON,0.01
22296,519-289-2999,22-Jan,MELBOURNE    ON,,0.03
22296,519-312-0318,2-Jan,SARNIA,,0.01
22296,519-312-0318,2-Jan,SARNIA,,0.01
22296,519-312-0318,2-Jan,SARNIA,,0.04
22296,647-877-1102,2-Jan,TORONTO,,0.12
22296,519-312-0318,2-Jan,SARNIA,,0.15
22296,647-877-1102,3-Jan,TORONTO,,0.01
22296,647-877-1102,3-Jan,TORONTO,,0.04
22296,519-627-6413,3-Jan,WALLACEBG,,0.07
22296,519-312-0318,3-Jan,SARNIA,,0.02
22296,519-287-2299,3-Jan,GLENCOE,,0.01
22296,519-328-0007,3-Jan,SARNIA,,0.05
22296,519-339-8949,3-Jan,SARNIA,,0.1
22296,226-738-0425,3-Jan,PETROLIA,,0.02
22296,226-738-0425,3-Jan,PETROLIA,,0.01
22296,519-627-7037,3-Jan,WALLACEBG,,0.01
22296,519-627-7037,3-Jan,WALLACEBG,,0.01
22296,647-877-1102,3-Jan,TORONTO,,0.07
22296,519-312-0318,3-Jan,SARNIA,,0.08
22296,226-886-1101,3-Jan,SARNIA,,0.13
22296,519-312-0318,3-Jan,SARNIA,,0.06
22296,519-296-4707,4-Jan,THEDFORD,,0.05
22296,647-877-1102,4-Jan,TORONTO,,0.04
22296,519-328-0007,4-Jan,SARNIA,,0.03
22296,226-374-8000,4-Jan,LONDON,,0.08
22296,519-433-5353,4-Jan,LONDON,,0.01
22296,519-312-0318,4-Jan,SARNIA,,0.03
22296,519-328-0007,4-Jan,SARNIA,,0.18
22296,226-234-0007,4-Jan,LONDON,,0.03
22296,519-899-2320,4-Jan,ABERARDER,,0.04
22296,519-328-0007,4-Jan,SARNIA,,0.09
22296,519-336-9026,5-Jan,SARNIA,,0.12
22296,519-236-7891,5-Jan,ZURICH,,0.12
22296,519-344-3641,5-Jan,SARNIA,,0.03
22296,519-328-0007,5-Jan,SARNIA,,0.01
22296,519-328-0007,5-Jan,SARNIA,,0
22296,519-328-0007,5-Jan,SARNIA,,0.06
22296,226-374-8000,5-Jan,LONDON,,0.05
22296,647-877-1102,5-Jan,TORONTO,,0.23
22296,647-877-1102,5-Jan,TORONTO,,0
22296,647-877-1102,5-Jan,TORONTO,,0.13
22296,519-236-7891,6-Jan,ZURICH,,0.26
22296,519-328-0007,6-Jan,SARNIA,,0.02
22296,647-877-1102,6-Jan,TORONTO,,0.01
22296,647-877-1102,6-Jan,TORONTO,,0.03
22296,226-886-1101,6-Jan,SARNIA,,0.04
22296,519-328-0007,6-Jan,SARNIA,,0.04
22296,519-312-0318,6-Jan,SARNIA,,0.01
22296,519-312-0318,6-Jan,SARNIA,,0.14
22296,519-312-0318,6-Jan,SARNIA,,0.02
22296,519-312-0318,6-Jan,SARNIA,,0.08
22296,519-328-0007,7-Jan,SARNIA,,0.01
22296,519-328-0007,7-Jan,SARNIA,,0.02
22296,519-312-0318,7-Jan,SARNIA,,0.05
22296,519-312-0318,7-Jan,SARNIA,,0.1
22296,519-204-3127,7-Jan,LONDON,,0
22296,519-312-0318,7-Jan,SARNIA,,0.13
22296,519-694-1101,7-Jan,LONDON,,0.02
22296,519-694-1101,7-Jan,LONDON,,0.01
22296,519-694-1101,7-Jan,LONDON,,0.01
22296,519-694-1101,7-Jan,LONDON,,0.11
22296,519-694-1101,7-Jan,LONDON,,0.05
22296,519-328-0007,7-Jan,SARNIA,,0.07
22296,519-328-0007,7-Jan,SARNIA,,0.02
22296,519-312-0318,8-Jan,SARNIA,,0
22296,519-312-0318,8-Jan,SARNIA,,0.01
22296,519-312-0318,8-Jan,SARNIA,,0.09
22296,519-312-0318,8-Jan,SARNIA,,0.29
22296,519-312-0318,8-Jan,SARNIA,,0.07
22296,519-312-0318,8-Jan,SARNIA,,0.1
22296,226-788-9000,9-Jan,WINDSOR,,0.05
22296,519-328-0007,9-Jan,SARNIA,,0
22296,519-328-0007,9-Jan,SARNIA,,0.06
22296,519-328-0007,9-Jan,SARNIA,,0.05
22296,226-234-0007,9-Jan,LONDON,,0.01
22296,226-234-0007,9-Jan,LONDON,,0.05
22296,519-328-0007,9-Jan,SARNIA,,0.05
22296,519-336-8541,9-Jan,SARNIA,,0.04
22296,519-328-0007,9-Jan,SARNIA,,0.05
22296,226-886-1101,9-Jan,SARNIA,,0.06
22296,519-434-9061,9-Jan,LONDON,,0.13
22296,519-328-0007,9-Jan,SARNIA,,0.03
22296,519-328-0007,9-Jan,SARNIA,,0.08
22296,519-328-0007,9-Jan,SARNIA,,0.02
22296,519-328-0007,9-Jan,SARNIA,,0.04
22296,519-312-0318,10-Jan,SARNIA,,0.14
22296,519-328-0007,10-Jan,SARNIA,,0.06
22296,647-877-1102,10-Jan,TORONTO,,0.02
22296,647-877-1102,10-Jan,TORONTO,,0.13
22296,519-312-0318,10-Jan,SARNIA,,0.02
22296,226-886-1101,10-Jan,SARNIA,,0.11
22296,519-312-0318,10-Jan,SARNIA,,0.09
22296,519-312-0318,10-Jan,SARNIA,,0
22296,519-332-0796,10-Jan,SARNIA,,0.05
22296,647-877-1102,10-Jan,TORONTO,,0.19
22296,647-877-1102,10-Jan,TORONTO,,0.03
22296,647-877-1102,10-Jan,TORONTO,,0.03
22296,519-312-0318,10-Jan,SARNIA,,0.04
22296,519-917-5000,10-Jan,CHATHAM,,0.01
22296,519-332-4224,11-Jan,SARNIA,,0.14
22296,519-312-0318,11-Jan,SARNIA,,0.09
22296,519-328-0007,11-Jan,SARNIA,,0.02
22296,519-328-0007,11-Jan,SARNIA,,0.18
22296,519-328-0007,11-Jan,SARNIA,,0.1
22296,226-234-0007,11-Jan,LONDON,,0.03
22296,226-374-8000,11-Jan,LONDON,,0.04
22296,226-374-8000,11-Jan,LONDON,,0.26
22296,519-491-5841,11-Jan,SARNIA,,0.06
22296,519-433-5353,11-Jan,LONDON,,0.06
22296,519-433-5353,11-Jan,LONDON,,0.01
22296,519-433-5353,11-Jan,LONDON,,0.02
22296,289-423-0007,11-Jan,AJAXPCKRNG,,0.11
22296,519-312-0318,12-Jan,SARNIA,,0.05
22296,519-328-0007,12-Jan,SARNIA,,0.13
22296,519-312-0318,12-Jan,SARNIA,,0.01
22296,647-877-1102,12-Jan,TORONTO,,0.08
22296,519-312-0318,12-Jan,SARNIA,,0.05
22296,519-328-0007,12-Jan,SARNIA,,0.09
22296,519-312-0318,13-Jan,SARNIA,,0.04
22296,519-312-0318,13-Jan,SARNIA,,0.01
22296,519-862-4924,13-Jan,CORUNNA,,0.03
22296,519-862-4924,13-Jan,CORUNNA,,0.01
22296,519-862-4924,13-Jan,CORUNNA,,0.06
22296,226-886-1101,13-Jan,SARNIA,,0.12
22296,519-344-3772,13-Jan,SARNIA,,0.09
22296,226-626-0007,13-Jan,CHATHAM,,0.02
22296,519-542-7662,13-Jan,SARNIA,,0.03
22296,519-312-0318,13-Jan,SARNIA,,0.08
22296,519-312-0318,13-Jan,SARNIA,,0.16
22296,519-312-0318,13-Jan,SARNIA,,0.1
22296,519-328-0007,13-Jan,SARNIA,,0.01
22296,519-328-0007,13-Jan,SARNIA,,0.11
22296,226-886-1101,13-Jan,SARNIA,,0
22296,519-328-0007,13-Jan,SARNIA,,0.01
22296,519-328-0007,13-Jan,SARNIA,,0.07
22296,519-328-0007,13-Jan,SARNIA,,0.16
22296,519-337-7902,13-Jan,SARNIA,,0.04
22296,519-328-0007,13-Jan,SARNIA,,0.23
22296,519-312-0318,13-Jan,SARNIA,,0.05
22296,519-328-0007,13-Jan,SARNIA,,0.06
22296,519-441-4000,13-Jan,GODERICH,,0.02
22296,519-328-0007,13-Jan,SARNIA,,0.01
22296,519-312-0318,13-Jan,SARNIA,,0.02
22296,226-307-0676,14-Jan,WYOMING,,0.11
22296,519-312-0318,14-Jan,SARNIA,,0.16
22296,647-877-1102,14-Jan,TORONTO,,0.02
22296,647-877-1102,14-Jan,TORONTO,,0.07
22296,519-312-0318,14-Jan,SARNIA,,0.02
22296,226-374-8000,14-Jan,LONDON,,0.7
22296,226-374-8000,14-Jan,LONDON,,0.02
22296,226-374-8000,14-Jan,LONDON,,0.26
22296,519-491-7643,14-Jan,SARNIA,,0.03
22296,519-328-0007,14-Jan,SARNIA,,0.12
22296,519-312-0318,15-Jan,SARNIA,,0.02
22296,519-312-0318,15-Jan,SARNIA,,0.04
22296,519-312-0318,15-Jan,SARNIA,,0.03
22296,519-312-0318,15-Jan,SARNIA,,0.02
22296,226-626-0007,15-Jan,CHATHAM,,0.03
22296,519-312-0318,15-Jan,SARNIA,,0.19
22296,647-877-1102,16-Jan,TORONTO,,0.04
22296,647-877-1102,16-Jan,TORONTO,,0.38
22296,519-328-0007,16-Jan,SARNIA,,0.05
22296,647-877-1102,16-Jan,TORONTO,,0.01
22296,647-877-1102,16-Jan,TORONTO,,0.02
22296,519-312-0318,16-Jan,SARNIA,,0.09
22296,519-328-0007,17-Jan,SARNIA,,0.04
22296,519-433-5353,17-Jan,LONDON,,0.04
22296,519-312-0318,17-Jan,SARNIA,,0.03
22296,226-231-0007,17-Jan,TILLSONBG,,0.02
22296,519-328-0007,17-Jan,SARNIA,,0.09
22296,519-328-0007,17-Jan,SARNIA,,0.14
22296,519-328-0007,17-Jan,SARNIA,,0.12
22296,226-374-8000,17-Jan,LONDON,,0.1
22296,226-886-1101,17-Jan,SARNIA,,0.15
22296,519-312-0318,17-Jan,SARNIA,,0.1
22296,519-312-0318,17-Jan,SARNIA,,0.11
22296,519-312-0318,17-Jan,SARNIA,,0.04
22296,519-312-0318,18-Jan,SARNIA,,0.02
22296,226-886-1101,18-Jan,SARNIA,,0.13
22296,519-328-0007,18-Jan,SARNIA,,0.02
22296,519-312-0318,18-Jan,SARNIA,,0.04
22296,403-223-3822,18-Jan,TABER,,0.02
22296,519-328-0007,18-Jan,SARNIA,,0.08
22296,519-969-9700,18-Jan,WINDSOR,,0.22
22296,226-886-1101,18-Jan,SARNIA,,0.09
22296,519-312-0318,18-Jan,SARNIA,,0.02
22296,226-886-1101,19-Jan,SARNIA,,0.02
22296,226-886-1101,19-Jan,SARNIA,,0.01
22296,519-312-0318,19-Jan,SARNIA,,0.11
22296,519-344-0316,19-Jan,SARNIA,,0.13
22296,519-312-0318,19-Jan,SARNIA,,0.19
22296,519-328-0007,19-Jan,SARNIA,,0.1
22296,519-328-0007,19-Jan,SARNIA,,0
22296,226-886-1101,19-Jan,SARNIA,,0.07
22296,519-312-0318,19-Jan,SARNIA,,0.05
22296,226-788-9000,19-Jan,WINDSOR,,0.03
22296,519-312-0318,19-Jan,SARNIA,,0.56
22296,519-328-0007,20-Jan,SARNIA,,0.03
22296,226-886-1101,20-Jan,SARNIA,,0.02
22296,519-312-0318,20-Jan,SARNIA,,0.02
22296,226-886-1101,20-Jan,SARNIA,,0.01
22296,519-328-0007,20-Jan,SARNIA,,0.05
22296,519-328-0007,20-Jan,SARNIA,,0.08
22296,519-312-0318,20-Jan,SARNIA,,0.06
22296,226-886-1101,20-Jan,SARNIA,,0.16
22296,226-886-1101,20-Jan,SARNIA,,0.13
22296,519-328-0007,20-Jan,SARNIA,,0.01
22296,519-328-0007,20-Jan,SARNIA,,0.2
22296,519-328-0007,20-Jan,SARNIA,,0.04
22296,226-345-0007,20-Jan,WINDSOR,,0.05
22296,226-626-0007,21-Jan,CHATHAM,,0.02
22296,226-663-2706,21-Jan,LONDON,,0.09
22296,647-877-1102,21-Jan,TORONTO,,0.04
22296,647-877-1102,21-Jan,TORONTO,,0.06
22296,519-328-0007,22-Jan,SARNIA,,0.03
22296,519-328-0007,22-Jan,SARNIA,,0
22296,519-882-4329,22-Jan,PETROLIA,,0.14
22296,519-694-1101,22-Jan,LONDON,,0.1
22296,519-328-0007,22-Jan,SARNIA,,0.13
22296,647-877-1102,22-Jan,TORONTO,,0.04
22296,519-786-2021,23-Jan,FOREST,,0.02
22296,647-877-1102,23-Jan,TORONTO,,0.01
22296,519-312-0318,23-Jan,SARNIA,,0.16
22296,519-312-0318,23-Jan,SARNIA,,0.06
22296,519-433-5353,23-Jan,LONDON,,0.03
22296,647-877-1102,23-Jan,TORONTO,,0.08
22296,519-312-0318,23-Jan,SARNIA,,0.13
22296,519-328-0007,23-Jan,SARNIA,,0.38
22296,519-862-1212,23-Jan,CORUNNA,,0.18
22296,519-328-0007,23-Jan,SARNIA,,0.06
22296,226-234-0007,24-Jan,LONDON,,0.04
22296,519-786-3739,24-Jan,FOREST,,0.12
22296,226-748-8000,24-Jan,KITCHEWTRL,,0.22
22296,226-886-1101,24-Jan,SARNIA,,0.15
22296,519-694-1101,24-Jan,LONDON,,0.08
22296,519-627-0159,24-Jan,WALLACEBG,,0.11
22296,519-328-0007,24-Jan,SARNIA,,0.09
22296,519-542-8814,24-Jan,SARNIA,,0.03
22296,519-332-6557,24-Jan,SARNIA,,0.02
22296,519-917-5000,24-Jan,CHATHAM,,0.01
22296,226-886-1101,25-Jan,SARNIA,,0.13
22296,519-312-0318,25-Jan,SARNIA,,0.09
22296,519-312-0318,25-Jan,SARNIA,,0.1
22296,519-337-2795,25-Jan,SARNIA,,0.04
22296,519-328-0007,26-Jan,SARNIA,,0.02
22296,519-328-0007,26-Jan,SARNIA,,0.04
22296,519-328-0007,26-Jan,SARNIA,,0.18
22296,519-328-0007,26-Jan,SARNIA,,0.06
22296,226-886-1101,26-Jan,SARNIA,,0.22
22296,613-235-3888,26-Jan,OTTAWAHULL,,0.17
22296,226-886-1101,26-Jan,SARNIA,,0.56
22296,519-247-3369,26-Jan,KERWOOD,,0.03
22296,519-328-0007,26-Jan,SARNIA,,0.06
22296,519-328-0007,26-Jan,SARNIA,,0.03
22296,519-376-7090,26-Jan,OWEN SOUND,,0.01
22296,519-694-1101,26-Jan,LONDON,,0.12
22296,519-328-0007,26-Jan,SARNIA,,0.02
22296,519-328-0007,26-Jan,SARNIA,,0
22296,519-328-0007,26-Jan,SARNIA,,0.03
22296,519-287-5755,27-Jan,GLENCOE,,0.2
22296,519-312-0318,27-Jan,SARNIA,,0.03
22296,519-289-0999,27-Jan,MELBOURNE,,0.07
22296,519-289-0999,27-Jan,MELBOURNE,,0.02
22296,519-464-8530,27-Jan,SARNIA,,0.01
22296,519-312-0318,28-Jan,SARNIA,,0.02
22296,226-374-8000,28-Jan,LONDON,,0.08
22296,226-268-7490,28-Jan,LONDON,,0.02
22296,647-877-1102,28-Jan,TORONTO,,0.11
22296,647-877-1102,28-Jan,TORONTO,,0.05
22296,226-920-9438,28-Jan,BRANTFORD,,0.05
22296,519-312-0318,28-Jan,SARNIA,,0.04
22296,519-860-6618,29-Jan,LONDON,,0.02
22296,519-860-6618,29-Jan,LONDON,,0.02
22296,226-270-2476,29-Jan,LONDON,,0
22296,519-328-0007,29-Jan,SARNIA,,0.16
22296,519-536-9500,30-Jan,WOODSTOCK,,0.12
22296,519-328-0007,30-Jan,SARNIA,,0.05
22296,519-328-0007,30-Jan,SARNIA,,0.03
22296,647-877-1102,30-Jan,TORONTO,,0.14
22296,519-542-7751,30-Jan,SARNIA,,0.01
22296,519-542-7751,30-Jan,SARNIA,,0
22296,519-328-0007,30-Jan,SARNIA,,0.01
22296,519-328-0007,30-Jan,SARNIA,,0.1
22296,226-626-0007,30-Jan,CHATHAM,,0.05
22296,226-848-6131,30-Jan,WATFORD,,0.07
22296,226-374-8000,31-Jan,LONDON,,0.01
22296,519-312-0318,31-Jan,SARNIA,,0.05
22296,519-312-0318,31-Jan,SARNIA,,0.08
22296,519-328-0007,31-Jan,SARNIA,,0.01
22296,519-312-0318,31-Jan,SARNIA,,0.06
22296,519-328-0007,31-Jan,SARNIA,,0
22296,519-328-0007,31-Jan,SARNIA,,0.02
22296,519-328-0007,31-Jan,SARNIA,,0.06
22296,519-296-5544,31-Jan,THEDFORD,,0.04
22296,647-877-1102,31-Jan,TORONTO,,0.11
22296,647-877-1102,31-Jan,TORONTO,,0.05
22296,519-328-0007,31-Jan,SARNIA,,0.03
22296,519-328-0007,31-Jan,SARNIA,,0
22296,519-328-0007,31-Jan,SARNIA,,0.01
22296,519-312-0318,31-Jan,SARNIA,,0.07
ATTN: ACCOUNT RECEIVABLE,807-788-1246,11-Jan,FT FRANCE,ON,1.79
11313,519-336-1269,7-Jan,SARNIA,ON,0.01
11313,519-337-3258,7-Jan,SARNIA,ON,0.02
11313,519-336-1269,7-Jan,SARNIA,ON,0.01
11313,519-336-1269,19-Jan,SARNIA,ON,0.01
11313,519-336-1269,19-Jan,SARNIA,ON,0.01
11313,519-331-4218,19-Jan,SARNIA,ON,0.01
11313,519-336-1269,19-Jan,SARNIA,ON,0.01
11313,519-331-4218,19-Jan,SARNIA,ON,0.01
15719,519-383-8814,6-Jan,SARNIA,ON,0.05
15719,519-328-4711,6-Jan,SARNIA,ON,0.01
15719,519-328-2630,6-Jan,SARNIA,ON,0.01
15719,519-350-1317,6-Jan,CHATHAM,ON,0.01
15719,519-365-8283,6-Jan,CHATHAM,ON,0.01
15719,519-355-1879,6-Jan,CHATHAM,ON,0.01
15719,519-949-8050,6-Jan,STRATFORD    ON,,0.01
15719,226-350-6866,6-Jan,WINDSOR,ON,0.01
15719,519-899-2703,6-Jan,ABERARDER    ON,,0.01
15719,519-490-8890,6-Jan,SARNIA,ON,0.02
15719,226-757-1658,7-Jan,WINDSOR,ON,0.01
15719,226-347-2013,7-Jan,WINDSOR,ON,0.01
15719,519-337-6008,7-Jan,SARNIA,ON,0.01
15719,519-881-3981,7-Jan,WALKERTON,ON,0.03
15719,226-787-9961,7-Jan,WINDSOR,ON,0.01
15719,647-963-9118,7-Jan,TORONTO,ON,0.05
15719,226-348-1556,7-Jan,WINDSOR,ON,0.01
15719,519-381-5491,7-Jan,SARNIA,ON,0.01
15719,519-397-5015,7-Jan,CHATHAM,ON,0.01
15719,647-528-9402,7-Jan,TORONTO,ON,0.01
15719,519-312-3741,8-Jan,SARNIA,ON,0.02
15719,519-271-9103,8-Jan,STRATFORD,ON,0.01
15719,519-437-5119,8-Jan,CHATHAM,ON,0.02
15719,226-246-3223,8-Jan,WINDSOR,ON,0.01
15719,416-892-3678,8-Jan,TORONTO,ON,0.01
15719,226-783-1494,8-Jan,WINDSOR,ON,0.01
15719,519-682-3099,8-Jan,TILBURY,ON,0.02
15719,519-384-1400,8-Jan,SARNIA,ON,0.04
15719,905-259-5912,11-Jan,OSHAWA,ON,0.01
15719,226-347-5488,14-Jan,WINDSOR,ON,0.01
15719,226-348-8867,14-Jan,WINDSOR,ON,0.08
15719,705-872-1437,14-Jan,PETERBROG,ON,0.01
15719,226-246-8257,14-Jan,WINDSOR,ON,0.01
15719,226-787-4720,14-Jan,WINDSOR,ON,0.01
15719,705-962-0694,14-Jan,KIRKLANDL,ON,0.01
15719,519-351-9337,14-Jan,CHATHAM,ON,0.02
15719,226-350-8440,14-Jan,WINDSOR,ON,0.01
15719,519-328-2630,14-Jan,SARNIA,ON,0.01
15719,519-862-2085,14-Jan,CORUNNA,ON,0.01
15719,519-402-1553,14-Jan,SARNIA,ON,0.02
15719,226-307-0598,14-Jan,WYOMING,ON,0.02
15719,519-336-1455,14-Jan,SARNIA,ON,0.14
15719,519-365-2043,14-Jan,CHATHAM,ON,0.03
15719,519-676-0024,14-Jan,BLENHEIM,ON,0.01
15719,519-627-5493,14-Jan,WALLACEBG,ON,0.01
15719,226-347-4445,15-Jan,WINDSOR,ON,0.01
15719,519-692-4869,15-Jan,THAMESVL,ON,0.02
15719,519-676-8624,15-Jan,BLENHEIM,ON,0.01
15719,519-397-1705,15-Jan,CHATHAM,ON,0.01
15719,519-358-2602,15-Jan,CHATHAM,ON,0.02
15719,519-437-1825,15-Jan,CHATHAM,ON,0.01
15719,519-330-7439,15-Jan,SARNIA,ON,0.01
15719,519-882-2746,15-Jan,PETROLIA,ON,0.01
15719,519-525-0360,15-Jan,GODERICH,ON,0.06
15719,519-359-1353,16-Jan,CHATHAM,ON,0.02
15719,226-348-0415,17-Jan,WINDSOR,ON,0.01
15719,519-352-5898,17-Jan,CHATHAM,ON,0.03
15719,778-679-1233,17-Jan,VICTORIA,BC,0.01
15719,226-783-5452,20-Jan,WINDSOR,ON,0.02
15719,226-350-6866,20-Jan,WINDSOR,ON,0.01
15719,519-627-9109,20-Jan,WALLACEBG,ON,0.03
15719,519-491-7689,20-Jan,SARNIA,ON,0.04
15719,519-337-8607,20-Jan,SARNIA,ON,0.04
15719,519-490-0314,20-Jan,SARNIA,ON,0.01
15719,905-809-2118,20-Jan,OSHAWA,ON,0.01
15719,647-930-5267,20-Jan,TORONTO,ON,0.01
15719,226-787-1097,21-Jan,WINDSOR,ON,0.01
15719,226-787-1097,21-Jan,WINDSOR,ON,0.01
15719,519-359-1867,21-Jan,CHATHAM,ON,0.01
15719,519-359-0476,21-Jan,CHATHAM,ON,0.03
15719,226-748-9002,21-Jan,KITCHEWTR,ON,0.01
15719,519-692-4159,21-Jan,THAMESVL,ON,0.01
15719,226-347-1972,21-Jan,WINDSOR,ON,0.05
15719,226-387-2656,21-Jan,BRANTFORD,ON,0.02
17706,519-271-9103,6-Jan,STRATFORD,ON,0.01
17706,416-898-6942,6-Jan,TORONTO,ON,0.01
17706,226-350-0569,6-Jan,WINDSOR,ON,0.01
17706,519-397-5015,6-Jan,CHATHAM,ON,0.01
17706,226-246-2967,7-Jan,WINDSOR,ON,0.03
17706,905-449-4809,7-Jan,OSHAWA,ON,0.01
17706,647-628-7441,7-Jan,TORONTO,ON,0.05
17706,519-381-6469,7-Jan,SARNIA,ON,0.01
17706,519-352-7592,8-Jan,CHATHAM,ON,0.06
17706,289-968-0008,8-Jan,STCTNSTHL,ON,0.01
17706,519-359-2443,8-Jan,CHATHAM,ON,0.02
17706,519-627-9695,8-Jan,WALLACEBG,ON,0.02
17706,519-867-5306,8-Jan,COURTRIGH,ON,0.01
17706,519-864-1021,8-Jan,BRIGDEN,ON,0.01
17706,519-337-3036,8-Jan,SARNIA,ON,0.03
17706,519-899-2222,8-Jan,ABERARDER,ON,0.02
17706,519-508-1485,8-Jan,STRATFORD,ON,0.06
17706,519-466-0010,8-Jan,SARNIA,ON,0.12
17706,519-772-5624,8-Jan,KITCHEWTR,ON,0.01
17706,226-757-0106,11-Jan,WINDSOR,ON,0.01
17706,226-783-0916,11-Jan,WINDSOR,ON,0.01
17706,519-354-4012,12-Jan,CHATHAM,ON,0.01
17706,519-360-7614,12-Jan,CHATHAM,ON,0.01
17706,519-352-5995,12-Jan,CHATHAM,ON,0.01
17706,519-676-6962,12-Jan,BLENHEIM,ON,0.02
17706,519-676-3758,12-Jan,BLENHEIM,ON,0.02
17706,519-676-0227,12-Jan,BLENHEIM,ON,0.02
17706,519-784-4478,12-Jan,CHATHAM,ON,0.02
17706,519-627-6756,12-Jan,WALLACEBG,ON,0.02
17706,226-626-1885,12-Jan,CHATHAM,ON,0.02
17706,519-627-3583,12-Jan,WALLACEBG,ON,0.01
17706,226-626-8115,12-Jan,CHATHAM,ON,0.02
17706,519-683-1001,12-Jan,DRESDEN,ON,0.02
17706,519-401-2879,12-Jan,CHATHAM,ON,0.01
17706,519-678-3037,12-Jan,HIGHGATE,ON,0.01
17706,519-580-7391,13-Jan,KITCHEWTR,ON,0.02
17706,705-772-9848,13-Jan,PETERBROG,ON,0.01
17706,519-809-0720,13-Jan,CHATHAM,ON,0.01
17706,519-496-5010,13-Jan,KITCHEWTR,ON,0.01
17706,519-437-8550,13-Jan,CHATHAM,ON,0.03
17706,519-333-8014,13-Jan,SARNIA,ON,0.01
